;amazon_product_url;Title;Price;Review_score;Review_count
0;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Legacy: A Novel;17.39;4.6;2520
1;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;The Last Thing He Told Me: A Novel;16.88;4.4;7512
2;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Shadow Storm (A Shadow Riders Novel);8.89;4.7;998
3;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Project Hail Mary: A Novel;15.89;4.7;8991
4;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Sooley: A Novel;17.37;4.5;10868
5;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Killing the Mob: The Fight Against Organized Crime in America (Bill O'Reilly's Killing Series);18.00;4.5;2329
6;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;What Happened to You?: Conversations on Trauma, Resilience, and Healing;17.39;4.7;1231
7;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;The Anthropocene Reviewed (Signed Edition): Essays on a Human-Centered Planet;16.80;4.9;387
8;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Zero Fail: The Rise and Fall of the Secret Service;14.83;4.6;675
9;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;The Premonition: A Pandemic Story;15.00;4.7;3181
10;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Legacy: A Novel;17.39;4.6;2520
11;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;The Last Thing He Told Me: A Novel;16.88;4.4;7512
12;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Sooley: A Novel;17.37;4.5;10868
13;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Project Hail Mary: A Novel;15.89;4.7;8991
14;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;While Justice Sleeps: A Novel;14.83;4.6;1600
15;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Killing the Mob: The Fight Against Organized Crime in America (Bill O'Reilly's Killing Series);18.00;4.5;2329
16;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;The Anthropocene Reviewed (Signed Edition): Essays on a Human-Centered Planet;16.80;4.9;387
17;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;What Happened to You?: Conversations on Trauma, Resilience, and Healing;17.39;4.7;1231
18;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Greenlights;12.90;4.7;38334
19;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Zero Fail: The Rise and Fall of the Secret Service;14.83;4.6;675
20;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Where the Crawdads Sing;10.99;4.8;133493
21;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;The Song of Achilles: A Novel;10.42;4.7;20803
22;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;People We Meet on Vacation;10.06;4.5;1997
23;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;The Silent Patient;13.95;4.5;75517
24;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;The Book of Lost Names;13.89;4.7;5714
25;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma;9.99;4.8;30178
26;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Born a Crime: Stories from a South African Childhood;7.26;4.8;34894
27;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge and the Teachings of Plants;14.80;4.8;7014
28;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Killers of the Flower Moon: The Osage Murders and the Birth of the FBI;23.19;4.6;13551
29;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Becoming;8.19;4.8;111771
30;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;The Boy, the Mole, the Fox and the Horse;14.03;4.9;76252
31;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones;11.98;4.8;43226
32;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;The Women of the Bible Speak: The Wisdom of 16 Women and Their Lessons for Today;15.59;4.9;3690
33;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;The Menopause Manifesto: Own Your Health with Facts and Feminism;8.54;4.6;50
34;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;World Travel: An Irreverent Guide;21.00;4.5;1019
35;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Stamped (For Kids): Racism, Antiracism, and You;13.99;5.0;69
36;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Wonder;Book 1 of 1: Wonder;4.8;30235
37;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;The Ickabog;12.55;4.7;13133
38;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Refugee;6.45;4.7;4829
39;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Best Nerds Forever;9.78;4.5;64
40;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;I Wish You More (Encouragement Gifts for Kids, Uplifting Books for Graduation);7.48;4.8;5535
41;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Thank You, Teacher from The Very Hungry Caterpillar;7.46;4.9;58
42;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;The Wonderful Things You Will Be;9.87;4.9;15567
43;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;What the Road Said;11.39;4.9;621
44;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;We Are Water Protectors;14.38;4.9;1982
45;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Shadow and Bone (The Shadow and Bone Trilogy, 1);7.82;4.5;14148
46;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Diary of a Wimpy Kid: Hard Luck, Book 8;15.00;Nothing;9340
47;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Rowley Jefferson’s Awesome Friendly Spooky Stories (Awesome Friendly Kid);9.44;4.7;2622
48;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Harry Potter and the Order of the Phoenix (5);6.98;4.9;27050
49;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;What Were the Twin Towers? (What Was?);Part of: What Was? (52 Books);4.8;853
50;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Stamped: Racism, Antiracism, and You: A Remix of the National Book Award-winning Stamped from the Beginning;8.99;4.8;6818
51;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;One of Us Is Lying;11.13;4.6;14528
52;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Realm Breaker;13.98;4.5;257
53;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Mister Impossible (The Dreamer Trilogy #2) (2);16.99;4.6;180
54;https://api.nytimes.com/svc/books/v3/lists/overview.json?api-key=ApED2WNpfJWdSsE94GAv0OsTsDSzOmE6;Rule of Wolves (King of Scars Duology, 2);13.79;4.8;3198
